sample_id,dim1,dim2,dim3
I3311.AG,1.444464778164811,-0.3180619288739106,-0.6005523351493356
I3313.AG,0.8170288384632349,0.3589606552095302,-0.07007504751187409
I3322.AG,-1.1361655815347707,0.47072987201268185,-2.3912624828293594
I3324.AG,-1.173361849168224,0.5352289970999777,-2.3888372914594496
I3432.AG,-1.1514691393309213,0.45422680945947475,-1.3781942318867344
I3433.AG,0.7966849195814837,0.3532623512869905,-0.00423714408550311
I3485.AG,-1.1199157825202986,0.4919149157514826,-2.3543407607380074
I3487.AG,-1.1425365469357898,0.4679385788099786,-2.364170844375176
I3488.AG,-1.1236260468188397,0.5012951589163404,-2.381635254048519
I3490.AG,-1.1395212254282536,0.4958633523928731,-2.377443154239219
I3491.AG,-1.1381237153129256,0.4939055820262923,-2.3548724084912434
I3493.AG,-1.123252631580679,0.5794197868789447,-2.3853882778800672
I3494.AG,-1.1358955291734687,0.4821538695500746,-2.3748464660965776
I3496.AG,-1.1480444764306683,0.4634408734735194,-2.404009294438293
I3498.AG,0.8217768416719039,0.3359076175287873,0.0033453243875268377
I3499.AG,0.7927119083834918,0.35841599174032696,-0.021903575581376206
I3528.AG,1.677022543199275,-0.5413656369522322,0.03421110609293612
I3529.AG,1.6514736899346967,-0.5288121003699612,0.044093728501074916
I3535.AG,1.6421916101214833,-0.5388115168973943,0.08740715193797143
I3537.AG,1.6404318008514167,-0.4958341630257505,0.11288078135076234
I3566.AG,-1.4864024126006727,-0.030394059653515285,0.17763820076302161
I3567.AG,-1.420011047048371,-0.0007003182751558046,0.010259577805277172
I3568.AG,-1.3759091828835845,0.07446168145695553,0.05125481575681833
I3574.AG,-1.0994121474651997,0.48514802168308296,-2.3738825825973406
I3575.AG,-1.103078555765708,0.4543713699472888,-2.3349118554094845
I3576.AG,-1.1183857249208589,0.47180714859838546,-2.3529735067470963
I3577.AG,-1.1777319857807198,0.4410933156315547,-2.3806717588237816
I3578.AG,-1.042486742208425,0.45778091792313036,-2.401116650616771
I3579.AG,-1.0767240045132844,0.5168804562741373,-2.3869465505925267
I3581.AG,-1.0410756083284767,0.47769550830303686,-2.308507882316238
I3582.AG,-1.0775890374209522,0.4845732499325444,-2.3673286385988357
I3583.AG,-1.1055683711148983,0.5090954241753123,-2.3815822500224124
I3585.AG,-1.1572912783709555,0.4765694988236492,-2.3864381928748717
I3588.AG,-0.35355350051272044,-0.2938218712397957,-0.22700806728836345
I3589.AG,-0.3867732989427589,-0.3223552005375595,-0.25334266515312553
I3590.AG,-0.39436187865926964,-0.3468345881170771,-0.2186582683051482
I3594.AG,-0.3968965065241124,-0.24987004573561913,-0.2287612865496002
I3597.AG,-0.38500639090977945,-0.29029554793693485,-0.23313956564703345
I3600.AG,-0.34085715039626635,-0.27071929393163696,-0.1437520940911586
I3601.AG,-0.38535903679998207,-0.3306561968182619,-0.24041804064645364
I3642.AG,-0.07054751766126814,0.058268454388519485,-0.7739497016532019
I3714.AG,-0.07932874260324209,0.09618994924951221,1.3965223015969823
I3715.AG,-0.10285732376975702,0.08141330749186118,1.372410858634103
I3716.AG,-0.1295597095569402,0.1160292506012911,1.3663414720175984
I3717.AG,-0.11525227210831364,0.1024567182578742,1.3968075171608167
I3719.AG,-0.0647365285307815,0.08724118090819506,1.38711754619916
I3741.AG,-0.08317620896224362,0.061397756163975324,-0.7556355814648329
I3743.AG,-0.10418799781538327,0.049503722854927705,-0.7431854343986914
I3756.AG,-1.1146354948956105,0.4942516981421563,-2.3722678719283143
I3759.AG,-1.136162686873371,0.5112453911628662,-2.345784261581399
I3775.AG,-1.0655195618212108,0.4872493562313719,-2.3569030643121835
I3777.AG,-1.1393134415391228,0.5068722758734091,-2.3445107571511254
I3808.AG,-1.0673832012113362,0.5132919127096346,-2.314056593080515
I3810.AG,-0.9893918401566151,0.4149098844898971,-2.2052404152723266
I3866.AG,-1.1375398851517915,0.5341693204829178,-2.3386561813807107
I3874.AG,-1.046301987999112,0.14334597928533935,-0.8741003723854576
I3875.AG,-0.9717388664871518,0.17517176379338403,-0.7945734390481755
I3876.AG,-0.06628646527007477,0.08846273508489762,-0.7422812045121587
I3879.AG,1.2833361178047262,-0.27289491255676285,-0.27793662250997764
I3947.AG,0.7752128355148542,0.3204670900442131,-0.03003734171423122
I3948.AG,0.7984190556743519,0.3404773332172615,-0.05604368113551741
I3965.AG,1.4454347466446877,-0.17786640941446127,-1.027602535298768
I3966.AG,1.4512069694554255,-0.1844351339262548,-1.0118205149241255
I3980.AG,-1.0761390100672816,0.4661347119674064,-2.309461619910725
I4054.AG,-1.0973249614840355,0.4571343092260827,-2.413862901108036
I4068.AG,-1.2586905148441987,-0.17858661967781245,0.13356871650899083
I4069.AG,-1.242542843173091,-0.19212406825890246,0.1428093171129391
I4070.AG,-1.2582253742503138,-0.18243066459956486,0.13737668244860624
I4071.AG,-1.2331194484344108,-0.1928126948917239,0.10918298019748393
I4073.AG,-1.2442366453289118,-0.1855086693848224,0.1065032689958745
I4075.AG,-1.2810871692947683,-0.17928804181738334,0.1321157852042682
I4076.AG,-1.2521695323924285,-0.17160037278862614,0.13511336932059057
I4088.AG,1.287017813897764,-0.6300491785236951,0.4157822648546463
I4089.AG,1.2556414378957277,-0.6345897376141851,0.41253057482968447
I4109.AG,-0.056165646205123265,0.027838513622268888,-0.7689327934930311
I4110.AG,-0.0806802634811102,0.09120436586051128,1.4016384623121747
I4111.AG,-0.07079013196274274,0.08152766436325257,1.3725044865253313
I4114.AG,-0.08516223857522659,0.07722131391826928,1.3394803130474275
I4167.AG,0.7628027019273638,0.34346520811545755,6.876954316847818e-05
I4168.AG,0.7945868430669317,0.34078516171233453,-0.007706880925167345
I4178.AG,1.6832604114607406,-0.5199066369670184,0.04949756925547025
I4184.AG,1.6444066152985097,-0.5370722373906875,0.0943126227834646
I4186.AG,1.712774120982015,-0.5460880776930614,0.09394989447636544
I4188.AG,1.6370621031921964,-0.5124550910517003,0.005819182493161593
I4189.AG,1.6553352436490245,-0.5204168895076102,0.05474092290707123
I4196.AG,1.655843505682701,-0.5524179336471109,0.1036737791075651
I4199.AG,1.6245472662441023,-0.5665057044504662,0.05815140894930753
I4247.AG,-1.1459014293638583,0.49351994117523573,-2.3310494018135173
I4251.AG,-0.1533765530782656,0.3666080808660393,1.8385945259395464
I4253.AG,-0.18230150625765074,0.3600882256788507,1.8704132039241033
I4303.AG,-1.0188751098405635,0.17571308527340998,-0.8804431221999355
I4331.AG,0.794639936878561,0.3648901990065826,-0.014323552940649914
I4332.AG,0.8316544605140642,0.38273455136306817,-0.001406876864579971
I4432.AG,-0.6224204022698966,0.6319077675040339,0.3805363090089436
I4434.AG,-0.6335649099655718,0.610430078296696,0.39564822662916493
I4435.AG,-0.6123359519883604,0.567266719027264,0.3777257428817615
I4436.AG,-0.6221233225394205,0.576675283373679,0.4104720806036849
I4437.AG,-0.6454592105557315,0.6232520337958604,0.3787504619318199
I4438.AG,-0.6364831652922854,0.6060455601621557,0.3714516237122894
I4439.AG,-0.646674499000786,0.596435944896131,0.37586356363081397
I4440.AG,-0.6453591750352616,0.6188527696163009,0.37952991989631274
I4441.AG,-0.6249606626395606,0.6359419220266785,0.3858319828790004
I4517.AG,1.4394287536092871,-0.1802213054672337,-1.03718520963918
I5207.AG,0.6257546117422592,-0.5542824347083001,-0.6200905912360979
I5208.AG,0.5944301799681225,-0.5247361781693862,-0.6343393065452253
I5358.AG,-1.4875344354537834,0.024130425517389587,0.05251517806621629
I5359.AG,-1.5138996628164993,-0.026029645344788122,0.03124563184167295
I5365.AG,-1.5559820941868663,0.04583389254472192,0.12582437439673436
I5366.AG,-1.549482856638337,-0.005326142583366022,0.10980377428014552
I5367.AG,-1.5505191438600268,0.013194804286063186,0.04162493464014255
I5371.AG,-1.4438845520823607,0.014164932606701494,0.1142804199309047
I5373.AG,-1.4191175139580665,-0.002792948400063064,0.12083124390378934
I5376.AG,-1.4887424901705018,-0.03033519202442645,0.1458940753415964
I5379.AG,-1.5067572946162016,-0.010472557396040128,0.18731049387575605
I5382.AG,-1.4825113216279657,-0.011200393976317297,0.0652401057033924
I5385.AG,-1.5240503025686876,0.035510222096288714,0.15932169771944293
I5387.AG,-1.5036671154385273,0.060050808693724686,0.0590730444337864
I5401.AG,0.34196314154699936,-0.14267652522566146,0.11600961278016068
I5402.AG,0.3087279267948273,-0.15050402388800618,0.12275588826989546
I5405.AG,0.3312009658221569,-0.16132846213425542,0.12731825822373935
I5407.AG,0.31002872747222293,-0.14927000030510404,0.117904056760471
I5408.AG,1.2273498191037695,-0.6370865489009675,0.412674473700191
I5409.AG,0.3632304258331644,-0.17742162540987108,0.1430083732462289
I5411.AG,1.1802992143872266,-0.6179947822844296,0.4034364399507922
I5427.AG,1.890687504057618,-0.49616492343885205,-0.4787574984805285
I5428.AG,-1.1306277094149368,0.44754683720207766,-1.366697094964427
I5429.AG,-1.1281612796172058,0.43914042893250615,-1.374093691292238
I5436.AG,1.2305225796873085,-0.6229766824198513,0.4255738008214066
I5440.AG,-1.4408111547539757,-0.0403933096312534,0.0761247650335333
I5441.AG,-1.5505943009539613,-0.007113195989560998,0.11100534965291135
