sample_id	observed_fraction	country	original_group_id	date_mean_bp
I14857.AG	0.1434623897075653	UnitedKingdom	England_EIA.AG	2408.0
I14858.AG	0.6170032024383545	UnitedKingdom	England_MIA.AG	2254.0
I14859.AG	0.6082603931427002	UnitedKingdom	England_MIA.AG	2227.0
I14860.AG	0.6713416576385498	UnitedKingdom	England_MIA.AG	2231.0
I14861.AG	0.6041947603225708	UnitedKingdom	England_LBA_highEEF.AG	2810.0
I14862.AG	0.7041807174682617	UnitedKingdom	England_LBA.AG	2834.0
I14863.AG	0.6798087358474731	UnitedKingdom	England_MIA.AG	2225.0
I14864.AG	0.6445941925048828	UnitedKingdom	England_LBA.AG	2839.0
I14865.AG	0.21054360270500183	UnitedKingdom	England_LBA_highEEF.AG	2823.0
I14866.AG	0.6376769542694092	UnitedKingdom	England_MIA.AG	2226.0
I14897.AG	0.19894762337207794	Germany	Germany_Medieval_Jewish.AG	603.0
I14898.AG	0.09809710085391998	Germany	Germany_Medieval_Jewish.AG	615.0
I14901.AG	0.05649007856845856	Germany	Germany_Medieval_Jewish.AG	625.0
I14903.AG	0.511756181716919	Germany	Germany_Medieval_Jewish.AG	625.0
I14904.AG	0.6025475859642029	Germany	Germany_Medieval_Jewish.AG	606.0
I14916.AG	0.13345195353031158	Greece	Greece_Crete_Zakros_BA.AG	3768.0
I14962.AG	0.6967785358428955	Hungary	Hungary_N_Koros.AG	7544.0
I14965.AG	0.271936297416687	Hungary	Hungary_N_Koros.AG	7500.0
I14980.AG	0.6607367396354675	Czechia	Czechia_IA_Hallstatt.AG	2625.0
I14983.AG	0.5451369881629944	Czechia	Czechia_IA_Hallstatt.AG	2625.0
I14985.AG	0.6554553508758545	Czechia	Czechia_IA_LaTene.AG	2225.0
I14986.AG	0.68880295753479	Czechia	Czechia_IA_LaTene.AG	2255.0
I14987.AG	0.44383472204208374	Czechia	Czechia_IA_LaTene.AG	2255.0
I14988.AG	0.41414082050323486	Czechia	Czechia_IA_LaTene_father.or.son.I17142.AG	2255.0
I15027.AG	0.6940088868141174	France	France_Medieval_o.AG	685.0
I15028.AG	0.6821444630622864	France	France_EBA.AG	4218.0
I15029.AG	0.6933317184448242	France	France_N.AG	5700.0
I15030.AG	0.6408910751342773	France	France_N.AG	5700.0
I15031.AG	0.6871825456619263	France	France_N.AG	5700.0
I15032.AG	0.6944176554679871	France	France_N.AG	5700.0
I15033.AG	0.7092269062995911	France	France_EBA.AG	3765.0
I15034.AG	0.6678040027618408	France	France_N_BA.AG	5000.0
I15035.AG	0.7044718861579895	France	France_N.AG	5000.0
I15039.AG	0.6962602734565735	Czechia	Czechia_IA_LaTene.AG	2185.0
I15040.AG	0.624154806137085	Czechia	Czechia_IA_LaTene.AG	2240.0
I15041.AG	0.6651446223258972	Czechia	Czechia_LBA_Knoviz.AG	3151.0
I15042.AG	0.7060566544532776	Czechia	Czechia_IA_LaTene.AG	2225.0
I15043.AG	0.7074021100997925	Czechia	Czechia_IA_LaTene.AG	2240.0
I15044.AG	0.7183306217193604	Czechia	Czechia_IA_LaTene.AG	2230.0
I15045.AG	0.7065489292144775	Czechia	Czechia_IA_LaTene.AG	2255.0
I15046.AG	0.7096413373947144	Czechia	Czechia_IA_LaTene.AG	2256.0
I15047.AG	0.4640251100063324	Czechia	Czechia_IA_LaTene.AG	2170.0
I15048.AG	0.6501594185829163	Czechia	Czechia_IA_LaTene.AG	2385.0
I15049.AG	0.3895822763442993	Czechia	Czechia_IA_LaTene.AG	2275.0
I15071.AG	0.2785104513168335	Czechia	Czechia_IA_Hallstatt.AG	2625.0
I15073.AG	0.6981304883956909	Hungary	Hungary_EN_Koros.AG	7610.0
I15074.AG	0.5610573291778564	Hungary	Hungary_N_Koros.AG	7500.0
I15463.AG	0.6780358552932739	Croatia	Croatia_Medieval_sister.I15744.AG	1200.0
I15486.AG	0.33157315850257874	Serbia	Serbia_Roman.AG	1750.0
I15488.AG	0.4860386848449707	Serbia	Serbia_Roman.AG	1700.0
I15489.AG	0.34934911131858826	Serbia	Serbia_Roman.AG	1700.0
I15490.AG	0.24373628199100494	Serbia	Serbia_Roman.AG	1750.0
I15492.AG	0.49800366163253784	Serbia	Serbia_Roman.AG	1648.0
I15494.AG	0.14830581843852997	Serbia	Serbia_Roman.AG	1750.0
I15495.AG	0.3294750452041626	Serbia	Serbia_Roman.AG	1750.0
I15500.AG	0.08122055232524872	Serbia	Serbia_Roman.AG	1740.0
I15502.AG	0.13845515251159668	Serbia	Serbia_Roman.AG	1680.0
I15504.AG	0.550814151763916	Serbia	Serbia_Roman.AG	1700.0
I15507.AG	0.3050778806209564	Serbia	Serbia_Roman.AG	1700.0
I15508.AG	0.4724905490875244	Serbia	Serbia_Roman.AG	1700.0
I15509.AG	0.05806427076458931	Serbia	Serbia_Roman.AG	1750.0
I15510.AG	0.46174776554107666	Serbia	Serbia_Roman.AG	1750.0
I15513.AG	0.3854565918445587	Serbia	Serbia_Roman.AG	1775.0
I15514.AG	0.1577363759279251	Serbia	Serbia_Roman.AG	1750.0
I15515.AG	0.06651998311281204	Serbia	Serbia_Roman.AG	1750.0
I15516.AG	0.19089984893798828	Serbia	Serbia_Roman.AG	1769.0
I15517.AG	0.120624840259552	Serbia	Serbia_Roman.AG	1777.0
I15518.AG	0.2345060408115387	Serbia	Serbia_Roman.AG	1688.0
I15520.AG	0.46340468525886536	Serbia	Serbia_Roman.AG	1696.0
I15521.AG	0.19938313961029053	Serbia	Serbia_Roman.AG	1756.0
I15522.AG	0.32582542300224304	Serbia	Serbia_Roman.AG	1700.0
I15524.AG	0.16361303627490997	Serbia	Serbia_Roman.AG	1700.0
I15525.AG	0.35735470056533813	Serbia	Serbia_Roman.AG	1750.0
I15526.AG	0.2491149753332138	Serbia	Serbia_Roman.AG	1680.0
I15527.AG	0.5561603903770447	Serbia	Serbia_Roman.AG	1815.0
I15528.AG	0.25733712315559387	Serbia	Serbia_Roman.AG	1795.0
I15529.AG	0.34312939643859863	Serbia	Serbia_Roman.AG	1800.0
I15531.AG	0.25421711802482605	Serbia	Serbia_Roman.AG	1595.0
I15532.AG	0.12795890867710114	Serbia	Serbia_Roman.AG	1600.0
I15533.AG	0.18745139241218567	Serbia	Serbia_Roman.AG	1644.0
I15534.AG	0.07328633219003677	Serbia	Serbia_Roman.AG	1654.0
I15535.AG	0.12177000194787979	Serbia	Serbia_Roman.AG	1610.0
I15537.AG	0.37245267629623413	Serbia	Serbia_EarlyMedieval_Slavic.AG	1050.0
I15540.AG	0.524964451789856	Serbia	Serbia_EarlyMedieval_Slavic.AG	1026.0
I15541.AG	0.3621348738670349	Serbia	Serbia_EarlyMedieval_Slavic.AG	1050.0
I15542.AG	0.4811076521873474	Serbia	Serbia_EarlyMedieval_Slavic.AG	980.0
I15543.AG	0.5108526945114136	Serbia	Serbia_EarlyMedieval_Slavic.AG	1050.0
I15544.AG	0.4148431420326233	Serbia	Serbia_Roman.AG	1581.0
I15545.AG	0.5616015195846558	Serbia	Serbia_Roman.AG	1472.0
I15546.AG	0.33883342146873474	Serbia	Serbia_Roman.AG	1555.0
I15548.AG	0.4421834945678711	Serbia	Serbia_Roman.AG	1555.0
I15549.AG	0.3804298937320709	Serbia	Serbia_Gepid.AG	1598.0
I15551.AG	0.3225270211696625	Serbia	Serbia_Roman.AG	1645.0
I15552.AG	0.28375208377838135	Serbia	Serbia_Roman.AG	1555.0
I15553.AG	0.36696532368659973	Serbia	Serbia_Roman.AG	1585.0
I15554.AG	0.152451753616333	Serbia	Serbia_Roman.AG	1520.0
I15555.AG	0.3012758195400238	Serbia	Serbia_Roman.AG	1520.0
I15556.AG	0.0574803352355957	Serbia	Serbia_Roman.AG	1555.0
I15571.AG	0.4292963743209839	Greece	Greece_Attica_Kolikrepi_BA.AG	3417.0
I15582.AG	0.2551311254501343	Greece	Greece_Attica_Kolikrepi_BA.AG	3466.0
I15617.AG	0.6352755427360535	Romania	Romania_C_Bodrogkeresztur_brother.I18114.brother.I7135.AG	5900.0
I15618.AG	0.5794886350631714	Romania	Romania_C_Bodrogkeresztur.AG	5900.0
I15619.AG	0.6274994611740112	Romania	Romania_C_Bodrogkeresztur.AG	5900.0
I15621.AG	0.574658989906311	Romania	Romania_C_Bodrogkeresztur.AG	5900.0
I15622.AG	0.5370819568634033	Romania	Romania_C_Bodrogkeresztur_sister.I7133.AG	5900.0
I15623.AG	0.5641181468963623	Romania	Romania_C_Bodrogkeresztur_o1.AG	6088.0
I15642.AG	0.3147193193435669	Czechia	Czechia_EBA_Unetice.AG	3950.0
I15643.AG	0.5896774530410767	Czechia	Czechia_EBA_Unetice.AG	3950.0
I15644.AG	0.6273007392883301	Czechia	Czechia_EBA_Unetice.AG	3950.0
I15646.AG	0.5919240117073059	Czechia	Czechia_EBA_Unetice_son.I13470.AG	3950.0
I15648.AG	0.4833882451057434	Czechia	Czechia_N.AG	5397.0
