sample_id,z1,z2,z3,z4,z5,z6
I1909.AG,-1.6670773029327393,1.9481219053268433,-0.22955647110939026,-0.3441941738128662,0.2979537546634674,0.025871798396110535
I1972.AG,-0.5085254907608032,-0.08788181841373444,-0.24058954417705536,-3.6031033992767334,-0.7188048958778381,0.24509836733341217
I1975.AG,-0.46183648705482483,-0.09350021928548813,-0.21724137663841248,-3.719421148300171,-0.7593985795974731,0.2802218794822693
I0166.AG,-0.48573002219200134,-0.43938615918159485,-0.0527215451002121,-0.3412344753742218,0.19117701053619385,0.40710073709487915
I2020.AG,-0.533021092414856,-0.4663349688053131,-0.06018928065896034,-0.3352113366127014,0.1540374904870987,0.3830355405807495
I2403.AG,-0.43055418133735657,0.5579847693443298,0.6284282803535461,0.15229536592960358,-0.7389292120933533,-1.7941441535949707
I2417.AG,0.33633026480674744,-0.5035476684570312,0.9558069705963135,-0.127385213971138,-0.7313504219055176,0.622469425201416
I2428.AG,-1.1464492082595825,0.8732883930206299,-0.3162095546722412,-0.2139403223991394,1.1566290855407715,0.38457217812538147
I2458.AG,0.39260298013687134,-0.5627272725105286,0.8842859864234924,-0.18662048876285553,-0.6977831125259399,0.7967305779457092
I2461.AG,0.32949408888816833,-0.53169184923172,0.869499683380127,-0.18446023762226105,-0.6963943243026733,0.65351402759552
I2462.AG,0.23261013627052307,-0.5713133811950684,0.8649652004241943,-0.2265753448009491,-0.6808596253395081,0.6973676681518555
I2470.AG,-0.5119897127151489,-0.05554525926709175,-0.20556609332561493,-3.6390891075134277,-0.6933347582817078,0.27456599473953247
I2477.AG,-0.46932846307754517,-0.32313990592956543,-0.7952331900596619,-1.3823187351226807,0.2168837934732437,-0.39118313789367676
I2509.AG,-1.145318865776062,0.8720349073410034,-0.2914558947086334,-0.23812149465084076,1.1364957094192505,0.3812161087989807
I2510.AG,-1.1817185878753662,0.8961645364761353,-0.2970849275588989,-0.24501648545265198,1.144061803817749,0.3930802345275879
I2519.AG,-1.147801399230957,0.8591147065162659,-0.30363696813583374,-0.22751665115356445,1.1541012525558472,0.382976770401001
I2520.AG,-1.163449764251709,0.8665194511413574,-0.2987046241760254,-0.22642691433429718,1.1468580961227417,0.3837273120880127
I2525.AG,-1.152832269668579,0.8955970406532288,-0.3076048493385315,-0.2440141886472702,1.1341073513031006,0.34691911935806274
I2530.AG,-0.5293405055999756,0.40190190076828003,-1.396578073501587,0.1378014236688614,1.0134817361831665,0.7921934127807617
I2532.AG,-1.401476502418518,0.8094605803489685,-0.7853956818580627,-0.08280759304761887,0.4297311007976532,-0.5862425565719604
